"Name","Address","City","Description","Closed","Reopened","Reason"
"KING-DREW SENIOR HIGH MEDICINE AND SCIENCE MAGNET","1601 E 120TH ST ","LOS ANGELES","PUBLIC SCHOOL CAFETERIA",,04/01/2026,"No closure reason provided"
"HANDEL'S HOMEMADE ICE CREAM","8850 CORBIN AVE","NORTHRIDGE","RESTAURANT (0-30) SEATS MODERATE RISK",,04/02/2026,"No closure reason provided"
"FLYING CHOPSTIX","174 E CARSON ST","CARSON","RESTAURANT (31-60) SEATS HIGH RISK",04/03/2026,,"Vermin Infestation - California Health & Safety Code 114259.1"
"CHAPALA BAKERY #3","1410 HUNTINGTON DR","DUARTE","RESTAURANT (0-30) SEATS HIGH RISK",04/02/2026,04/02/2026,"No Public Health Permit - California Health and Safety Code Section 114381"
"OLGUITAS COCINA","4640 ROSEMEAD BLVD","PICO RIVERA","RESTAURANT (61-150) SEATS HIGH RISK",04/02/2026,,"No closure reason provided"
"PALOS VERDES HIGH SCHOOL","600 CLOYDEN RD ","PALOS VERDES ESTATES","PUBLIC SWIMMING POOL MODERATE RISK 1",04/02/2026,," Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546"
"DOMINO'S PIZZA #7886","1510 S GAFFEY ST","SAN PEDRO","RESTAURANT (0-30) SEATS MODERATE RISK",04/01/2026,04/03/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARK VILLA MOBILE HOME ESTATES","21711 VERA ST ","CARSON","PUBLIC SWIMMING POOL LOW RISK 1",03/31/2026,,"Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 Recirculation System Not Operating  California Code of Regulations 65525, 65545 Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B "
"POLLY'S PIES                ","1322 W BEVERLY BLVD ","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,,"Vermin infestation California Health & Safety Code section 114259.1"
"CHO MAK","357 S WESTERN BLVD STE 101","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/26/2026,03/31/2026,"Vermin Infestation-California Health & Safety Code  114259"
"GOLDEN CORRAL","17308 BELLFLOWER BLVD","BELLFLOWER","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,03/31/2026,"Vermin infestation California Health and Safety code section 114259.1"
"DAVE & BUSTER'S #0078","6801 HOLLYWOOD BLVD #363","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK",03/26/2026,03/28/2026,"Vermin infestation- California Health & Safety Code section 114259.1"
"CVS/PHARMACY #2289","19701 W VANOWEN ST ","WINNETKA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/26/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"QIN WEST CHINESE CUISINE","727 N BROADWAY STE 111","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/26/2026,03/28/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"168 MARKET #801","1421 E VALLEY BLVD","ALHAMBRA","FOOD MKT RETAIL (2,000+ SF) LOW RISK",03/25/2026,03/27/2026,"Sewage Discharge - California Health and Safety Code Section 114190"
"JAOPAYA THAI RESTAURANT","7321 RESEDA BLVD","RESEDA","RESTAURANT (31-60) SEATS HIGH RISK",03/24/2026,03/27/2026,"Vermin Infestation California Health and Safety Code Section 114259.1.  "
"JUST POP'N","1030 E 25TH ST","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/24/2026,03/26/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"SAMOSA HOUSE SANTA MONICA","2301 MAIN ST","SANTA MONICA","RESTAURANT (0-30) SEATS HIGH RISK",03/24/2026,,"Sewage Discharge - California Health and Safety Code Section 114190"
"CHARLIE'S BEST BURGERS ELA","5138 E OLYMPIC BLVD","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/23/2026,03/25/2026,"Sewage Discharge - California Health and Safety Code Section 114190 Inspection Score Less Than 70 -  LACC 8.04.225"
"COLDSTONE CREAMERY WEST LA","10875 PICO BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"BAOSHUTANG RESTAURANT","987 S GLENDORA AVE 5","WEST COVINA","RESTAURANT (0-30) SEATS HIGH RISK",03/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"QIN WEST CHINESE CUISINE","727 N BROADWAY STE 111","LOS ANGELES","REMOTE STORAGE FACILITY",03/23/2026,03/26/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"KOREAN BBQ HOUSE","123 S ONIZUKA ST # 302","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/20/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LA RAMADA RESTAURANT        ","6330 SANTA FE AVE ","HUNTINGTON PARK","RESTAURANT (31-60) SEATS HIGH RISK",03/20/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PANERA BREAD #1703","8700 WASHINGTON BLVD","PICO RIVERA","RESTAURANT (151 + ) SEATS HIGH RISK",03/20/2026,03/25/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"MELODY BEER & WINE","9136 S BUDLONG AVE","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/19/2026,03/23/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARADISE BIRYANI POINTE","18158 PIONEER BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK",03/19/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TACOS Y BURRITOS METRO B #1","1118 N HACIENDA BLVD ","LA PUENTE","RESTAURANT (31-60) SEATS HIGH RISK",03/19/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CORNER STOP LIQUOR MART","3109 CENTURY BLVD B","SOUTH GATE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/19/2026,03/21/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1."
"PISTA HOUSE","18521 PIONEER BLVD","CERRITOS","RESTAURANT (0-30) SEATS MODERATE RISK",03/18/2026,03/20/2026,"Vermin infestation California Health and Safety code section 114259.1"
"PALM TERRACE APARTMENTS","15116 PARTHENIA ST ","NORTH HILLS","PUBLIC SWIMMING POOL LOW RISK 1",03/18/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"THE BOWL LA VERNE","2087 FOOTHILL BLVD","LA VERNE","RESTAURANT (0-30) SEATS LOW RISK",03/18/2026,03/24/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PALM TERRACE APARTMENTS","15116 PARTHENIA ST ","NORTH HILLS","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/18/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"17ROOTEA","331 E 1ST ST","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/18/2026,03/20/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"RICK'S BURGER","132 W MAIN ST","ALHAMBRA","RESTAURANT (61-150) SEATS HIGH RISK",03/17/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"#1 BUFFET","14418 HAWTHORNE BLVD ","LAWNDALE","RESTAURANT (151 + ) SEATS HIGH RISK",03/17/2026,03/19/2026,"Sewage Discharge - California Health and Safety Code Section 114190Vermin Infestation - California Health and Safety Code Section 114259.1"
"A&S LIQUOR MARKET","3088 W PICO BLVD ","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/17/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TACOS EL CHAPARRITO         ","9611 GARVEY AVE STE 105","SOUTH EL MONTE","RESTAURANT (0-30) SEATS HIGH RISK",03/17/2026,03/19/2026,"California Health & Safety Code Section 114259.1 - Vermin Infestation"
"BOILING POINT #2            ","153 W GARVEY AVE ","MONTEREY PARK","RESTAURANT (0-30) SEATS HIGH RISK",03/17/2026,03/21/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"LE LYCEE FRANCAIS SCHOOL","3261 OVERLAND AVE ","LOS ANGELES","PUBLIC SWIMMING POOL MODERATE RISK 1",03/17/2026,03/23/2026,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"7-ELEVEN #39698A","15317 VANOWEN ST","VAN NUYS","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/16/2026,03/18/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1   "
"LONDON GASTROPUB            ","419 S MYRTLE AVE ","MONROVIA","RESTAURANT (31-60) SEATS HIGH RISK",03/13/2026,03/17/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SANDWICH EXPRESS            ","18575 SHERMAN WAY ","RESEDA","RESTAURANT (0-30) SEATS HIGH RISK",03/13/2026,03/20/2026,"Vermin Infestation California Health and Safety Code Section 114259.1."
"BOBOS","12949 ROSECRANS AVE","NORWALK","RESTAURANT (31-60) SEATS HIGH RISK",03/13/2026,03/20/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PARK TARZANA                  ","18620 HATTERAS ST ","TARZANA","PUBLIC SWIMMING POOL LOW RISK 1",03/13/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545"
"MARGARITA JONES MEXICAN RESTAURANT","6341 PACIFIC BLVD ","HUNTINGTON PARK","RESTAURANT (151 + ) SEATS HIGH RISK",03/13/2026,03/20/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1   No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095  "
"BIRIYANI KABOB HOUSE","3525 W 3RD ST # 1","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/12/2026,03/16/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"SAMOSA HOUSE SANTA MONICA","2301 MAIN ST","SANTA MONICA","RESTAURANT (0-30) SEATS HIGH RISK",03/12/2026,03/13/2026,"Unsafe Food Temperatures - California Health and Safety Code Section 113996"
"COLLEGE OF THE CANYONS","26455 ROCKWELL CANYON RD ","VALENCIA","PUBLIC SWIMMING POOL MODERATE RISK 1",03/12/2026,,"Pool, Equipment, or Facilities have been Modified Without Submittal of Plans  California Code of Regulations 65545"
"THE HEIGHTS","16201 RIDGEVIEW LN ","LA MIRADA","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/12/2026,03/13/2026,"Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545"
"MIRA BELLA AT NORTHRIDGE HOA","9761 LUCY LN","NORTHRIDGE","PUBLIC SWIMMING POOL LOW RISK 1",03/11/2026,,"  Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545   "
"NADC BURGER","1091 BROXTON","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/11/2026,,"No Plans Submitted California Health and Safety Code Section 114380"
"THE VILLAGE AT NORTHRIDGE","9222 CORBIN AVE ","NORTHRIDGE","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/11/2026,,"  Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545  Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, 3119B "
"THE VILLAGE AT NORTHRIDGE","9222 CORBIN AVE ","NORTHRIDGE","PUBLIC SWIMMING POOL LOW RISK 1",03/11/2026,,"  Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545 Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, 3119B                       "
"ALVAREZ MARKET","4737 E OLYMPIC BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/11/2026,03/16/2026,"VERMIN INFESTATION - CALIFORNIA HEALTH AND SAFETY CODE SECTION 114259.1 NO METHOD TO CLEAN AND SANITIZE AVAILABLE - CALIFORNIA HEALTH AND SAFETY CODE SECTION 114095"
"CORNER GRILL EXPRESS","6135 PACIFIC BLVD","HUNTINGTON PARK","RESTAURANT (0-30) SEATS HIGH RISK",03/11/2026,03/17/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 Inspection Score Less Than 70 - LACC 8.04.225  "
"MIRA BELLA AT NORTHRIDGE HOA","9761 LUCY LN","NORTHRIDGE","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/11/2026,,"   Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545    Pool Water Characteristics - pH in Excess of 8.0  California Code of Regulations 65530, 65545"
"NAGAHASU BY SUSHI YU/MI","8103 1/2 BEVERLY BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/11/2026,03/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CARL'S JR","13157 TELEGRAPH RD","SANTA FE SPRINGS","RESTAURANT (61-150) SEATS MODERATE RISK",03/11/2026,03/11/2026,"Sewage Discharge - California Health and Safety Code Section 114190"
"ARAX                        ","316 W BEVERLY BLVD ","MONTEBELLO","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",03/11/2026,03/12/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"NL MARKET","1575 E IMPERIAL HWY","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",03/10/2026,03/13/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1  "
"THE GROVE","125 CRABAPPLE DR ","POMONA","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/10/2026,03/11/2026,"Inadequate Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545"
"RITROVO","6020 S SEABLUFF DR STE 4","PLAYA VISTA","RESTAURANT (31-60) SEATS HIGH RISK",03/10/2026,03/17/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"WECHAT CAFE","10131 VALLEY BLVD","EL MONTE","RESTAURANT (31-60) SEATS HIGH RISK",03/09/2026,03/16/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TANTAWAN THAI KITCHEN","9000 GARVEY AVE STE C & D","ROSEMEAD","RESTAURANT (61-150) SEATS HIGH RISK",03/09/2026,03/11/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"LA QUINTA REAL","400 E COMPTON BLVD","COMPTON","RESTAURANT (61-150) SEATS HIGH RISK",03/07/2026,03/12/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095  Inspection Score Less Than 70 - LACC 8.04.225 Health Officer Order     "
"KFC","2807 S FIGUEROA ST","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",03/06/2026,03/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1."
"TIERRA DEL SOL (501-25 N 4TH","400 W BEVERLY BLVD ","MONTEBELLO","PUBLIC SWIMMING POOL LOW RISK 1",03/06/2026,03/12/2026,"Flooded Pool Light or Pool Light Electrical / Entanglement Hazard  California Code of Regulations 65545, California Building Code 3115B"
"IBIZA NIGHT CLUB & RESTAURANT","6901 PACIFIC BLVD","HUNTINGTON PARK","RESTAURANT (61-150) SEATS HIGH RISK",03/06/2026,03/13/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1  Inspection Score Less Than 70 - LACC 8.04.225 Health Officer Order  "
"TIERRA DEL SOL (501-25 N 4TH","400 W BEVERLY BLVD ","MONTEBELLO","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/06/2026,03/12/2026,"Excessive Chlorine / Disinfectant Residual  California Code of Regulations 65529, 65545 Flooded Pool Light or Pool Light Electrical / Entanglement Hazard  California Code of Regulations 65545, California Building Code 3115B"
"GENGHIS COHEN","448 N FAIRFAX AVE","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/06/2026,03/09/2026,"Vermin Infestation- California Health & Safety Code 114259.1"
"ORANGE GROVE WEST APARTMENTS","711 ORANGE GROVE AVE ","SOUTH PASADENA","PUBLIC SWIMMING POOL LOW RISK 1",03/05/2026,,"This pool is officially closed due to the following violations observed:   1) Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Visible  2) Gate/Door Not Self-Closing and/or Self-Latching 3) Excessive Chlorine / Disinfectant Residual > 10 ppm 4) Pool Water Characteristics - pH in Excess of 8.0  5) Unapproved chlorine dispensing - floating chlorinator inside the pool"
"ECLIPSE","3084 PICO BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS MODERATE RISK",03/05/2026,03/10/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"PODI DOSA","17607 PIONEER BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK",03/05/2026,03/10/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"RIBS & CO","15252 ROSECRANS AVE","LA MIRADA","RESTAURANT (151 + ) SEATS HIGH RISK",03/05/2026,03/12/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CVS/PHARMACY #9709            ","1479 FOOTHILL BLVD ","LA VERNE","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/05/2026,03/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"BLACKCRAFT COFFEE","457 N FAIRFAX AVE","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/05/2026,,"Sewage Discharge - California Health and Safety Code Section 114190  No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"COLDSTONE CREAMERY WEST LA","10875 PICO BLVD","LOS ANGELES","RESTAURANT (0-30) SEATS LOW RISK",03/04/2026,03/11/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CRAVE CAFE STUDIO CITY","11992 VENTURA BLVD","STUDIO CITY","RESTAURANT (61-150) SEATS HIGH RISK",03/04/2026,03/06/2026," Vermin Infestation - California Health and Safety Code Section 114259.1"
"HOLLYWOOD STARS TATTOO","9200 S SEPULVEDA BLVD ","LOS ANGELES","BODY ART FACILITY 4+ PRACTITIONERS",03/04/2026,03/06/2026,"Discontinue operating when public health permit is suspended or revoked due to a person being allowed to perform body art and does not possess a valid practitioner registration.  YOU ARE HEREBY DIRECTED BY THE HEALTH DEPARTMENT TO IMMEDIATELY DISCONTINUE ALL BODY ART ACTIVITIES UNTIL YOU HAVE COMPLIED WITH THE SAFE BODY ART ACT OF CALIFORNIA.  THE FACILITY IS CLOSED AND WILL REMAIN CLOSED UNTIL FURTHER NOTICE. NOTICE OF CLOSURE SIGN POSTED AT THE ENTRANCE."
"HELENS MARKET               ","8843 S SANTA FE SPRINGS RD ","WHITTIER","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/04/2026,03/11/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"FANG-HUO                      ","664 W GARVEY AVE ","MONTEREY PARK","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",03/04/2026,03/07/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CASA MAGUEY","101 N INDIAN HILL BLVD # C2 103","CLAREMONT","RESTAURANT (151 + ) SEATS HIGH RISK",03/03/2026,03/07/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SUNSET PALMS","2549 TRADEWINDS ","WEST COVINA","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",03/03/2026,,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B  Flooded Pool Light or Pool Light Electrical / Entanglement Hazard  California Code of Regulations 65545, California Building Code 3115B"
"FLASK","5900 N FIGUEROA ST","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",03/03/2026,03/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"CHINATOWN EXPRESS","2811 FIGUEROA ST","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",03/03/2026,03/09/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1."
"LUYIXIAN","2 E VALLEY BLVD STE 1E","ALHAMBRA","RESTAURANT (0-30) SEATS HIGH RISK",03/03/2026,03/05/2026,"Vermin Infestation: California Health and Safety Code Section 114259.1"
"SUNSET PALMS","2549 TRADEWINDS ","WEST COVINA","PUBLIC SWIMMING POOL LOW RISK 1",03/03/2026,,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"RIVER VILLAGE","26101 FAIRFIELD WAY","SANTA CLARITA","PUBLIC SWIMMING POOL LOW RISK 1",03/03/2026,04/01/2026,"Fecal Accident or Other Water Contamination  California Health & Safety Code 116043, California Code of Regulations 65533, 65545, 65546"
"COMIKA","3944 PECK RD UNIT B6","EL MONTE","RESTAURANT (0-30) SEATS MODERATE RISK",03/03/2026,03/18/2026,"California Health and Safety Code: No Method to Clean and Sanitize Available Section 114095"
"COPPER POT","1511 S PACIFIC COAST HWY","REDONDO BEACH","RESTAURANT (31-60) SEATS HIGH RISK",03/02/2026,03/19/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"H&H BRAZILIAN STEAK HOUSE","518 W 7TH ST","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",03/02/2026,03/04/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"MAA'S FOOD- INDIA'S FLAVOR","3303 N VERDUGO RD","GLENDALE","RESTAURANT (0-30) SEATS HIGH RISK",02/27/2026,03/03/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"THAI ORIGINAL BBQ & REST","484 N WESTERN AVE","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK",02/27/2026,03/04/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"NOVACANE RESTAURANT & BAR","5812 S SANTA FE AVE","HUNTINGTON PARK","RESTAURANT (0-30) SEATS HIGH RISK",02/27/2026,03/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1  Inspection Score Less Than 70 - LACC 8.04.225 "
"MR H'S TACOS","8642 E IMPERIAL HWY ","DOWNEY","RESTAURANT (0-30) SEATS HIGH RISK",02/27/2026,03/16/2026,"Vermin Infestation California Health and Safety Code, section 114259.1"
"COVINA MOUNTAIN VIEW APTS","1375 W SAN BERNARDINO RD","COVINA","PUBLIC SWIMMING POOL LOW RISK 1",02/26/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545."
"COVINA MOUNTAIN VIEW APTS","1375 W SAN BERNARDINO RD","COVINA","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",02/26/2026,,"Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545."
"JOAN AND SISTERS RESTAURANT","3709 S WESTERN AVE ","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",02/26/2026,02/26/2026,"No Public Health Permit - California Health and Safety Code Section 114381"
"SPITZ EAGLE ROCK","2506 COLORADO BLVD","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK",02/26/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SAKURA LIQUOR","2632 E CESAR E CHAVEZ AVE","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",02/26/2026,03/02/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"LUNASIA DIMSUM HOUSE","2575 PACIFIC COAST HWY","TORRANCE","RESTAURANT (61-150) SEATS HIGH RISK",02/26/2026,03/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"99 RANCH MARKET #57","400 S BALDWIN AVE # 1000","ARCADIA","RESTAURANT (0-30) SEATS HIGH RISK",02/25/2026,03/11/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 Gross Contamination of Food Contact Surfaces - California Health and Safety Code Section 114115. Inspection Score Less Than 70 - LACC 8.04.225"
"7-ELEVEN #23949B","1519 S BUNDY DR","LOS ANGELES","FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",02/25/2026,03/03/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1 "
"7-ELEVEN #19133F","1611 W OLIVE AVE","BURBANK","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",02/25/2026,02/27/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"ANS LIQUOR & MINI MARKET","11701 W PICO BLVD","LOS ANGELES","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",02/25/2026,03/25/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"PERU CHICHA PERUVIAN RESTAURANT","14800 S WESTERN AVE 103","GARDENA","RESTAURANT (0-30) SEATS HIGH RISK",02/24/2026,03/16/2026,"VERMIN INFESTATION - CALIFORNIA HEALTH AND SAFETY CODE SECTION 114259.1"
"THE METROPOLITAN","315 W 5TH ST ","LOS ANGELES","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",02/24/2026,03/03/2026,"Cyanuric Acid in Excess of 100 ppm  California Code of Regulations 65530, 65545"
"7-ELEVEN #17981F","1707 INDIAN HILL BLVD","POMONA","FOOD MKT RETAIL (2,000+ SF) LOW RISK",02/24/2026,02/26/2026,"Vermin Infestation California Health and Safety Code Section 114259.1"
"MEXICAN RIVIERA RESTAURANT  ","4239 PACIFIC COAST HWY ","TORRANCE","RESTAURANT (31-60) SEATS HIGH RISK",02/23/2026,,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"SIMPLEE BOBA","954 MISSION ST","SOUTH PASADENA","RESTAURANT (0-30) SEATS MODERATE RISK",02/23/2026,02/24/2026,"No Method to Clean and Sanitize Available  California Health and Safety Code Section 114095"
"LA FLAMA HOLLYWOOD","724 N VINE ST","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",02/23/2026,03/03/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"COFFEE COMMISSARY","1402 SANTA MONICA BLVD","SANTA MONICA","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",02/23/2026,02/27/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"TRADITIONS","7100 BLOSSOM CT ","PICO RIVERA","PUBLIC SWIMMING POOL LOW RISK 1",02/20/2026,03/12/2026,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"KOREAN BBQ HOUSE","123 S ONIZUKA ST # 302","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",02/20/2026,03/05/2026,"Vermin Infestation - California Health and Safety Code Section 114259.1"
"3153 BARBARA COURT APTS","3153 BARBARA CT","LOS ANGELES","PUBLIC SWIMMING POOL LOW RISK 1",02/20/2026,03/03/2026,"  Pool Water is Cloudy/green with Algae and/or the Main Drain is Not Clearly Visible  California Code of Regulations 65527, 65545 Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"TRADITIONS","7100 BLOSSOM CT ","PICO RIVERA","PUBLIC SWIMMING POOL LOW RISK ADDITIONAL",02/20/2026,03/12/2026,"Gate/Door Not Self-Closing and/or Self-Latching, and/or Unapproved / in Disrepair  California Code of Regulations 65545, California Building Code 3119B"
"818 EVENTS LLC","8945 DE SOTO AVE","CANOGA PARK","RESTAURANT (31-60) SEATS HIGH RISK",02/19/2026,02/25/2026,"Vermin Infestation California Health and Safety Code Section 114259.1."
